id,ref_simple,Désignation,nom_marque,Catégories,cat1,cat2,cat3,Prix public 1,Stock final des 12 mois,Date de création,Date de mise à jour,image-1
31,F51P12WH,LAVE LINGE LG 15K,LG Electronics,Gros électroménager,Lave-linge,,,"1249,99",1,11/06/2021,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/31/F51P12WH-1.jpg
32,F84V40WHS,1400t.8kg.26pr.steam.72db.CBA.wifi.,LG Electronics,Gros électroménager,Lave-linge,,,"699,99",1,23/12/2022,11/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/32/F84V40WHS-1.jpg
33,F84N50WHSB,1400t.8kg.vapeur.ddrive.13prg.A+++A.blc.,LG Electronics,Gros électroménager,Lave-linge,,,"599,99",1,12/05/2020,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/33/F84N50WHSB-1.jpg
34,WM14N248FR,iq300.1400t.8kg.indu.vario.fdif.72db.ABA,SIEMENS,Gros électroménager,Lave-linge,,,"759,99",1,08/03/2024,08/03/2024,http://nas.latelier22.fr/pascal-chantrel/images/34/WM14N248FR-1.jpg
35,VLT612E2,1200t.6kg.39 apos;.ddif.79db.DBC.,VEDETTE,Gros électroménager,Lave-linge,,,"589,99",1,31/08/2021,15/02/2024,http://nas.latelier22.fr/pascal-chantrel/images/35/VLT612E2-1.jpg
36,WCB100,LAVE LINGE MIELE,MIELE,Gros électroménager,Lave-linge,,,1099,1,27/09/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/36/WCB100-1.jpg
37,WAN28227FR,LAVE LINGE BOSCH 7KG,BOSCH,Gros électroménager,Lave-linge,,,"679,9",1,12/12/2023,15/01/2024,http://nas.latelier22.fr/pascal-chantrel/images/37/WAN28227FR-1.jpg
38,G5000BB,13c.5pr.dd.quick power.tc.45db.EC.blc.,MIELE,Gros électroménager,Lave-vaisselle,Lave-vaisselle pose libre,,"749,99",1,28/02/2023,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/38/G5000BB-1.jpg
39,SCDW1542IDBM,15c.6pr.4t.ddif.tc.42db.DC.noir mat.,,Gros électroménager,Lave-vaisselle,Lave-vaisselle pose libre,,"599,99",1,12/07/2022,07/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/39/SCDW1542IDBM-1.jpg
40,SMS2HTI72E,LAVE VAISSELLE BOSCH,BOSCH,Gros électroménager,Lave-vaisselle,Lave-vaisselle pose libre,,"779,99",1,19/05/2021,01/12/2023,http://nas.latelier22.fr/pascal-chantrel/images/40/SMS2HTI72E-1.jpg
